year	sales
1973	13
1974	14
1975	24
1976	25
1977	19
1978	8
1979	17
1980	15
1981	44
1982	40
1983	25
1984	9
1985	34
1986	34
1987	55
1988	22
1989	48
1990	76
1991	75
1992	188
1993	82
1994	95
1995	95
1996	142
1997	45
1998	85
1999	15
2000	104
2001	134
2002	50
2003	90
2004	131
2005	67
2006	125
2007	107
2008	111
2009	123
2010	121
2011	101
2012	109
